1614962446382, 5159-4504-8495-6584, Visa, 9, Aus_der_Region, 2.43, CHF, CHF, 1614962446082, 1.0
1614962465052, 5165-1317-7354-5256, Visa, 5, Tante_Emma, 1.11, EUR, USD, 1614962465159, 0.96
1614962465226, 5142-9209-7502-8912, MasterCard, 10, Aus_der_Region, 25.31, EUR, USD, 1614962464157, 0.9
1614962465226, 5142-9209-7502-8912, MasterCard, 10, Aus_der_Region, 25.31, EUR, USD, 1614962465159, 0.96
1614962465245, 5160-9639-6605-6731, AMEX, 4, BioMarkt, 74.91, EUR, USD, 1614962464157, 0.9
1614962465245, 5160-9639-6605-6731, AMEX, 4, BioMarkt, 74.91, EUR, USD, 1614962465159, 0.96
1614962465373, 5165-2762-3697-9622, Visa, 5, Tante_Emma, 53.8, EUR, USD, 1614962464157, 0.9
1614962465373, 5165-2762-3697-9622, Visa, 5, Tante_Emma, 53.8, EUR, USD, 1614962465159, 0.96
1614962465494, 5176-9446-8823-7016, AMEX, 12, BioMarkt, 46.39, EUR, USD, 1614962464157, 0.9
1614962465494, 5176-9446-8823-7016, AMEX, 12, BioMarkt, 46.39, EUR, USD, 1614962465159, 0.96
1614962465673, 5134-5421-8216-5323, MasterCard, 6, Tante_Emma, 83.96, EUR, USD, 1614962464157, 0.9
1614962465673, 5134-5421-8216-5323, MasterCard, 6, Tante_Emma, 83.96, EUR, USD, 1614962465159, 0.96
1614962465807, 5165-2226-8593-9327, Visa, 7, Aus_der_Region, 3.94, EUR, USD, 1614962464157, 0.9
1614962465807, 5165-2226-8593-9327, Visa, 7, Aus_der_Region, 3.94, EUR, USD, 1614962465159, 0.96
1614962466325, 5194-9745-8668-4128, AMEX, 10, Aus_der_Region, 36.3, USD, CHF, 1614962466163, 0.97
1614962466424, 5197-7659-7120-6041, Visa, 5, Tante_Emma, 83.63, USD, CHF, 1614962466163, 0.97
1614962466107, 5197-4296-4171-1350, Diners Club, 7, Aus_der_Region, 67.28, EUR, USD, 1614962467167, 0.93
1614962466839, 5112-5986-3623-1143, MasterCard, 12, BioMarkt, 46.05, USD, CHF, 1614962466163, 0.97
1614962467289, 5119-4244-1795-2094, AMEX, 5, Tante_Emma, 84.83, USD, CHF, 1614962466163, 0.97
1614962467452, 5186-3754-8192-4910, Revolut, 11, Shop_am_Eck, 52.15, USD, CHF, 1614962466163, 0.97
1614962467573, 5149-6350-7258-9794, Revolut, 4, BioMarkt, 64.74, USD, CHF, 1614962466163, 0.97
1614962466357, 5191-4051-5829-8635, Visa, 14, BioMarkt, 34.38, EUR, USD, 1614962467167, 0.93
1614962466561, 5173-5830-2292-9681, MasterCard, 4, BioMarkt, 9.94, EUR, USD, 1614962467167, 0.93
1614962466648, 5190-8410-4173-9832, Visa, 15, BioMarkt, 84.79, EUR, USD, 1614962467167, 0.93
1614962466681, 5141-5648-2690-3383, Maestro, 1, Aus_der_Region, 53.53, EUR, USD, 1614962467167, 0.93
1614962466704, 5137-5324-9662-9475, Revolut, 10, Aus_der_Region, 32.99, EUR, USD, 1614962467167, 0.93
1614962466783, 5195-1016-5886-5092, Revolut, 1, Aus_der_Region, 0.2, EUR, USD, 1614962467167, 0.93
1614962467676, 5111-1619-2237-4153, AMEX, 5, Tante_Emma, 56.56, USD, CHF, 1614962466163, 0.97
1614962466863, 5151-7296-1649-2953, Diners Club, 0, Tante_Emma, 7.51, EUR, USD, 1614962467167, 0.93
1614962467811, 5125-2078-5470-8543, MasterCard, 15, BioMarkt, 61.17, USD, CHF, 1614962466163, 0.97
1614962467831, 5195-1189-1893-5318, Diners Club, 10, Aus_der_Region, 33.15, USD, CHF, 1614962466163, 0.97
1614962466873, 5190-5418-3414-4559, Maestro, 3, SihlCity, 37.48, EUR, USD, 1614962467167, 0.93
1614962467267, 5133-4553-8623-8070, AMEX, 2, Shop_am_Eck, 47.44, EUR, USD, 1614962467167, 0.93
1614962467918, 5192-5124-2996-8065, Maestro, 7, Aus_der_Region, 81.95, USD, CHF, 1614962466163, 0.97
1614962467767, 5161-6636-9097-7713, Diners Club, 9, Aus_der_Region, 72.39, EUR, USD, 1614962467167, 0.93
1614962467897, 5138-9981-5266-9687, Visa, 7, Aus_der_Region, 68.15, EUR, USD, 1614962467167, 0.93
1614962467973, 5183-6137-7803-2997, Visa, 10, Aus_der_Region, 22.0, USD, CHF, 1614962468173, 1.03
1614962468165, 5113-3516-6356-4086, Diners Club, 1, Aus_der_Region, 57.06, USD, CHF, 1614962468173, 1.03
1614962467996, 5195-5635-2248-5552, AMEX, 3, SihlCity, 30.79, EUR, USD, 1614962469175, 0.98
1614962468267, 5118-9695-6951-7358, AMEX, 6, Tante_Emma, 54.37, EUR, USD, 1614962469175, 0.98
1614962468476, 5117-6684-7550-1443, MasterCard, 3, SihlCity, 18.67, EUR, USD, 1614962469175, 0.98
1614962468588, 5112-2855-5398-6653, Maestro, 7, Aus_der_Region, 48.07, EUR, USD, 1614962469175, 0.98
1614962468611, 5118-9176-9946-9385, MasterCard, 3, SihlCity, 8.33, EUR, USD, 1614962469175, 0.98
1614962468852, 5180-4407-8877-3178, Visa, 14, BioMarkt, 16.44, EUR, USD, 1614962469175, 0.98
1614962468291, 5124-3731-2227-9612, Visa, 6, Tante_Emma, 59.8, USD, CHF, 1614962468173, 1.03
1614962468398, 5190-1514-2736-4254, Visa, 0, Tante_Emma, 74.22, USD, CHF, 1614962468173, 1.03
1614962468419, 5150-7107-9189-5672, Diners Club, 15, BioMarkt, 26.55, USD, CHF, 1614962468173, 1.03
1614962468498, 5135-2820-2350-9993, Diners Club, 15, BioMarkt, 23.56, USD, CHF, 1614962468173, 1.03
1614962468862, 5136-1297-2792-5023, Visa, 12, BioMarkt, 27.22, EUR, USD, 1614962469175, 0.98
1614962469063, 5198-7769-2092-5403, MasterCard, 5, Tante_Emma, 84.94, EUR, USD, 1614962469175, 0.98
1614962468719, 5167-3600-8484-6519, Revolut, 2, Shop_am_Eck, 47.1, USD, CHF, 1614962468173, 1.03
1614962468942, 5129-9507-2728-6898, Maestro, 10, Aus_der_Region, 30.85, USD, CHF, 1614962468173, 1.03
1614962468977, 5192-4063-9780-4238, Revolut, 8, Aus_der_Region, 31.98, USD, CHF, 1614962468173, 1.03
1614962469021, 5118-8727-2703-3239, Diners Club, 15, BioMarkt, 49.81, USD, CHF, 1614962468173, 1.03
1614962469031, 5146-4958-7218-4171, Revolut, 10, Aus_der_Region, 21.66, USD, CHF, 1614962468173, 1.03
1614962469086, 5157-2499-3885-4491, Revolut, 8, Aus_der_Region, 44.73, EUR, USD, 1614962469175, 0.98
1614962469129, 5118-3645-9994-7046, Maestro, 2, Shop_am_Eck, 81.62, EUR, USD, 1614962469175, 0.98
1614962469040, 5196-3269-4267-9598, Maestro, 6, Tante_Emma, 29.14, USD, CHF, 1614962468173, 1.03
1614962469152, 5195-9012-1759-4245, AMEX, 9, Aus_der_Region, 7.99, EUR, USD, 1614962469175, 0.98
1614962469337, 5137-1236-4194-9859, Revolut, 6, Tante_Emma, 83.97, EUR, USD, 1614962469175, 0.98
1614962469369, 5135-7450-5749-7414, Revolut, 7, Aus_der_Region, 5.42, EUR, USD, 1614962469175, 0.98
1614962469413, 5174-9905-3296-9763, Maestro, 3, SihlCity, 41.5, EUR, USD, 1614962469175, 0.98
1614962469052, 5133-4020-7272-4204, MasterCard, 2, Shop_am_Eck, 14.91, USD, CHF, 1614962468173, 1.03
1614962469219, 5150-4636-2351-4366, Visa, 13, BioMarkt, 62.12, USD, CHF, 1614962468173, 1.03
1614962469305, 5145-9666-2666-3052, Maestro, 2, Shop_am_Eck, 85.71, USD, CHF, 1614962468173, 1.03
1614962469359, 5140-7393-8543-5770, Visa, 10, Aus_der_Region, 80.3, USD, CHF, 1614962468173, 1.03
1614962469403, 5111-9341-4161-7862, Maestro, 14, BioMarkt, 11.33, USD, CHF, 1614962468173, 1.03
1614962469586, 5137-6156-6958-3111, Diners Club, 0, Tante_Emma, 70.13, USD, CHF, 1614962468173, 1.03
1614962469731, 5126-8152-7902-9199, Diners Club, 14, BioMarkt, 42.45, USD, CHF, 1614962468173, 1.03
1614962469792, 5178-6538-2228-7008, Visa, 4, BioMarkt, 33.33, USD, CHF, 1614962468173, 1.03
1614962469901, 5133-9210-2975-7971, MasterCard, 7, Aus_der_Region, 73.06, USD, CHF, 1614962468173, 1.03
1614962469941, 5123-3050-7021-9767, MasterCard, 2, Shop_am_Eck, 6.11, USD, CHF, 1614962468173, 1.03
1614962469437, 5117-1329-8874-6135, Maestro, 4, BioMarkt, 19.56, EUR, USD, 1614962469175, 0.98
1614962469447, 5110-2852-9126-3833, MasterCard, 11, Shop_am_Eck, 30.38, EUR, USD, 1614962469175, 0.98
1614962469506, 5136-8642-4534-3871, Visa, 2, Shop_am_Eck, 9.02, EUR, USD, 1614962469175, 0.98
1614962469696, 5176-6964-8544-9077, Visa, 4, BioMarkt, 18.73, EUR, USD, 1614962469175, 0.98
1614962469869, 5127-2785-4919-2225, Revolut, 15, BioMarkt, 19.6, EUR, USD, 1614962469175, 0.98
1614962469880, 5141-6166-8007-5814, Visa, 6, Tante_Emma, 24.72, EUR, USD, 1614962469175, 0.98
1614962469970, 5189-5987-1457-8684, AMEX, 10, Aus_der_Region, 85.04, EUR, USD, 1614962469175, 0.98
1614962469981, 5133-6201-9609-5237, Visa, 10, Aus_der_Region, 3.13, EUR, CHF, 1614962470178, 1.03
1614962469981, 5133-6201-9609-5237, Visa, 10, Aus_der_Region, 3.13, EUR, CHF, 1614962471184, 1.05
1614962470012, 5116-3807-2664-6077, Diners Club, 7, Aus_der_Region, 18.14, EUR, CHF, 1614962470178, 1.03
1614962470012, 5116-3807-2664-6077, Diners Club, 7, Aus_der_Region, 18.14, EUR, CHF, 1614962471184, 1.05
1614962470053, 5120-4272-4209-5719, AMEX, 10, Aus_der_Region, 46.98, EUR, CHF, 1614962470178, 1.03
1614962470053, 5120-4272-4209-5719, AMEX, 10, Aus_der_Region, 46.98, EUR, CHF, 1614962471184, 1.05
1614962470083, 5141-6807-3197-3047, MasterCard, 9, Aus_der_Region, 8.79, EUR, CHF, 1614962470178, 1.03
1614962470083, 5141-6807-3197-3047, MasterCard, 9, Aus_der_Region, 8.79, EUR, CHF, 1614962471184, 1.05
1614962470115, 5172-4408-2281-9370, Revolut, 0, Tante_Emma, 13.96, EUR, CHF, 1614962470178, 1.03
1614962470115, 5172-4408-2281-9370, Revolut, 0, Tante_Emma, 13.96, EUR, CHF, 1614962471184, 1.05
1614962470127, 5196-1879-6330-8087, Revolut, 0, Tante_Emma, 37.47, EUR, CHF, 1614962470178, 1.03
1614962470127, 5196-1879-6330-8087, Revolut, 0, Tante_Emma, 37.47, EUR, CHF, 1614962471184, 1.05
1614962470351, 5173-8490-8170-7990, MasterCard, 15, BioMarkt, 25.86, EUR, CHF, 1614962470178, 1.03
1614962470351, 5173-8490-8170-7990, MasterCard, 15, BioMarkt, 25.86, EUR, CHF, 1614962471184, 1.05
1614962470372, 5194-7558-5698-5445, Diners Club, 13, BioMarkt, 52.84, EUR, CHF, 1614962470178, 1.03
1614962470372, 5194-7558-5698-5445, Diners Club, 13, BioMarkt, 52.84, EUR, CHF, 1614962471184, 1.05
1614962470436, 5124-4500-7254-5773, Visa, 13, BioMarkt, 37.43, EUR, CHF, 1614962470178, 1.03
1614962470436, 5124-4500-7254-5773, Visa, 13, BioMarkt, 37.43, EUR, CHF, 1614962471184, 1.05
1614962470469, 5141-5095-1011-2347, Diners Club, 7, Aus_der_Region, 23.68, EUR, CHF, 1614962470178, 1.03
1614962470469, 5141-5095-1011-2347, Diners Club, 7, Aus_der_Region, 23.68, EUR, CHF, 1614962471184, 1.05
1614962470664, 5111-2789-6289-7859, Visa, 1, Aus_der_Region, 73.06, EUR, CHF, 1614962470178, 1.03
1614962470664, 5111-2789-6289-7859, Visa, 1, Aus_der_Region, 73.06, EUR, CHF, 1614962471184, 1.05
1614962470737, 5144-3980-6057-8666, Diners Club, 10, Aus_der_Region, 57.54, EUR, CHF, 1614962470178, 1.03
1614962470737, 5144-3980-6057-8666, Diners Club, 10, Aus_der_Region, 57.54, EUR, CHF, 1614962471184, 1.05
1614962470783, 5182-2572-8567-5141, MasterCard, 3, SihlCity, 81.97, EUR, CHF, 1614962470178, 1.03
1614962470783, 5182-2572-8567-5141, MasterCard, 3, SihlCity, 81.97, EUR, CHF, 1614962471184, 1.05
1614962470795, 5188-7560-7497-1238, Revolut, 3, SihlCity, 86.56, EUR, CHF, 1614962470178, 1.03
1614962470795, 5188-7560-7497-1238, Revolut, 3, SihlCity, 86.56, EUR, CHF, 1614962471184, 1.05
1614962470816, 5190-5402-3107-5376, Diners Club, 0, Tante_Emma, 83.99, EUR, CHF, 1614962470178, 1.03
1614962470816, 5190-5402-3107-5376, Diners Club, 0, Tante_Emma, 83.99, EUR, CHF, 1614962471184, 1.05
1614962470958, 5141-4970-4910-5730, Diners Club, 7, Aus_der_Region, 81.3, EUR, CHF, 1614962470178, 1.03
1614962470958, 5141-4970-4910-5730, Diners Club, 7, Aus_der_Region, 81.3, EUR, CHF, 1614962471184, 1.05
1614962471106, 5110-3168-2162-1678, AMEX, 13, BioMarkt, 19.86, EUR, CHF, 1614962470178, 1.03
1614962471106, 5110-3168-2162-1678, AMEX, 13, BioMarkt, 19.86, EUR, CHF, 1614962471184, 1.05
1614962471286, 5176-5940-5405-3936, Visa, 3, SihlCity, 33.19, EUR, CHF, 1614962470178, 1.03
1614962471286, 5176-5940-5405-3936, Visa, 3, SihlCity, 33.19, EUR, CHF, 1614962471184, 1.05
1614962471317, 5133-1734-4979-1068, Maestro, 9, Aus_der_Region, 83.84, EUR, CHF, 1614962470178, 1.03
1614962471317, 5133-1734-4979-1068, Maestro, 9, Aus_der_Region, 83.84, EUR, CHF, 1614962471184, 1.05
1614962471395, 5145-7340-8407-3440, Revolut, 0, Tante_Emma, 66.76, EUR, CHF, 1614962470178, 1.03
1614962471395, 5145-7340-8407-3440, Revolut, 0, Tante_Emma, 66.76, EUR, CHF, 1614962471184, 1.05
1614962471561, 5184-3669-3871-5363, Maestro, 8, Aus_der_Region, 46.4, EUR, CHF, 1614962470178, 1.03
1614962471561, 5184-3669-3871-5363, Maestro, 8, Aus_der_Region, 46.4, EUR, CHF, 1614962471184, 1.05
1614962471674, 5192-7243-5436-5128, Diners Club, 8, Aus_der_Region, 43.51, EUR, CHF, 1614962470178, 1.03
1614962471674, 5192-7243-5436-5128, Diners Club, 8, Aus_der_Region, 43.51, EUR, CHF, 1614962471184, 1.05
1614962471742, 5122-7769-8173-9616, MasterCard, 11, Shop_am_Eck, 46.4, EUR, CHF, 1614962470178, 1.03
1614962471742, 5122-7769-8173-9616, MasterCard, 11, Shop_am_Eck, 46.4, EUR, CHF, 1614962471184, 1.05
1614962471862, 5193-8915-7764-5911, MasterCard, 11, Shop_am_Eck, 77.87, EUR, CHF, 1614962470178, 1.03
1614962471862, 5193-8915-7764-5911, MasterCard, 11, Shop_am_Eck, 77.87, EUR, CHF, 1614962471184, 1.05
1614962471884, 5110-6254-4953-3948, MasterCard, 15, BioMarkt, 28.01, EUR, CHF, 1614962470178, 1.03
1614962471884, 5110-6254-4953-3948, MasterCard, 15, BioMarkt, 28.01, EUR, CHF, 1614962471184, 1.05
1614962471938, 5133-4262-7293-3831, Revolut, 15, BioMarkt, 56.74, USD, USD, 1614962473193, 1.0
1614962471949, 5190-2235-4132-4594, MasterCard, 0, Tante_Emma, 85.26, USD, USD, 1614962473193, 1.0
1614962472106, 5142-3188-5592-3099, Diners Club, 4, BioMarkt, 87.34, USD, USD, 1614962473193, 1.0
1614962472139, 5160-1301-3135-9460, AMEX, 7, Aus_der_Region, 63.02, USD, USD, 1614962473193, 1.0
1614962472172, 5113-7131-5371-1931, Diners Club, 8, Aus_der_Region, 62.69, USD, USD, 1614962473193, 1.0
1614962472182, 5177-6187-6068-1228, AMEX, 2, Shop_am_Eck, 56.25, USD, USD, 1614962473193, 1.0
1614962472386, 5161-4523-2310-1446, Maestro, 5, Tante_Emma, 48.79, USD, USD, 1614962473193, 1.0
1614962472790, 5131-6818-6927-2765, MasterCard, 11, Shop_am_Eck, 0.59, USD, USD, 1614962473193, 1.0
1614962472825, 5169-4266-8875-6106, Diners Club, 0, Tante_Emma, 21.25, USD, USD, 1614962473193, 1.0
1614962472849, 5158-2030-8881-4095, Visa, 3, SihlCity, 47.92, USD, USD, 1614962473193, 1.0
1614962472916, 5162-9178-3160-1652, Revolut, 4, BioMarkt, 18.32, USD, USD, 1614962473193, 1.0
1614962472936, 5182-6271-3921-6525, MasterCard, 15, BioMarkt, 30.61, USD, USD, 1614962473193, 1.0
1614962472995, 5153-7029-3018-3310, AMEX, 2, Shop_am_Eck, 76.47, USD, USD, 1614962473193, 1.0
1614962473116, 5186-4779-2392-9401, Maestro, 6, Tante_Emma, 75.9, USD, USD, 1614962473193, 1.0
1614962473150, 5147-3820-6345-4434, Diners Club, 3, SihlCity, 37.4, USD, USD, 1614962473193, 1.0
1614962473162, 5184-6879-6216-2524, Maestro, 0, Tante_Emma, 67.01, USD, USD, 1614962473193, 1.0
1614962473183, 5178-2438-5163-7702, AMEX, 6, Tante_Emma, 51.18, USD, USD, 1614962473193, 1.0
1614962473302, 5144-3099-5556-2386, Diners Club, 9, Aus_der_Region, 52.76, USD, USD, 1614962473193, 1.0
1614962473457, 5170-4155-2377-7252, Maestro, 6, Tante_Emma, 11.86, USD, USD, 1614962473193, 1.0
1614962473468, 5153-9514-5684-7011, Revolut, 10, Aus_der_Region, 29.32, USD, USD, 1614962473193, 1.0
1614962473506, 5158-6436-8760-3296, Visa, 10, Aus_der_Region, 17.65, USD, USD, 1614962473193, 1.0
1614962473816, 5184-5496-8467-5200, Maestro, 14, BioMarkt, 40.77, USD, USD, 1614962473193, 1.0
1614962473848, 5138-7377-5653-3910, AMEX, 7, Aus_der_Region, 24.23, USD, USD, 1614962473193, 1.0
1614962473911, 5170-9718-5363-6034, MasterCard, 5, Tante_Emma, 14.21, USD, USD, 1614962473193, 1.0
1614962473961, 5149-8120-8047-5686, MasterCard, 9, Aus_der_Region, 27.17, USD, USD, 1614962473193, 1.0
1614962472023, 5113-7747-7089-2853, AMEX, 15, BioMarkt, 41.43, USD, CHF, 1614962472188, 0.96
1614962472053, 5130-7801-6226-6817, Maestro, 4, BioMarkt, 40.53, USD, CHF, 1614962472188, 0.96
1614962472095, 5135-9221-9504-1229, MasterCard, 8, Aus_der_Region, 54.55, USD, CHF, 1614962472188, 0.96
